time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-19 00:00:00+00:00,1,1,1.0,1.0
2025-10-20 00:00:00+00:00,10,5,4.0,2.0
2025-10-21 00:00:00+00:00,8,3,2.0,2.0
2025-10-22 00:00:00+00:00,16,7,4.0,2.0
2025-10-23 00:00:00+00:00,16,13,7.0,3.0
2025-10-24 00:00:00+00:00,13,5,8.0,6.0
2025-10-25 00:00:00+00:00,15,5,2.0,2.0
2025-10-26 00:00:00+00:00,10,5,3.0,2.0
2025-10-27 00:00:00+00:00,8,7,2.0,2.0
2025-10-28 00:00:00+00:00,8,7,3.0,3.0
2025-10-29 00:00:00+00:00,11,6,2.0,2.0
2025-10-30 00:00:00+00:00,6,6,8.0,5.0
2025-10-31 00:00:00+00:00,16,6,1.0,1.0
2025-11-01 00:00:00+00:00,8,3,,
