time_iso8601,stars_cumulative
2023-10-09 00:00:00+00:00,4
2023-10-12 00:00:00+00:00,5
2023-11-30 00:00:00+00:00,6
2023-12-07 00:00:00+00:00,7
2024-01-04 00:00:00+00:00,8
2024-02-06 00:00:00+00:00,9
2024-03-26 00:00:00+00:00,10
2024-05-22 00:00:00+00:00,11
2024-05-25 00:00:00+00:00,12
2024-09-16 00:00:00+00:00,13
2024-10-02 00:00:00+00:00,14
2024-11-01 00:00:00+00:00,15
2025-01-21 00:00:00+00:00,16
2025-01-28 00:00:00+00:00,17
2025-01-29 00:00:00+00:00,18
2025-04-15 00:00:00+00:00,19
2025-04-17 00:00:00+00:00,20
2025-04-18 00:00:00+00:00,21
2025-06-02 00:00:00+00:00,22
2025-10-13 00:00:00+00:00,23
